Start time=	2023-06-27 16:33:23.328192
Time (s)	O2 conc. (ppm)
10.51	4.868E+04	10.0
11.47	4.866E+04	10.0
12.60	4.866E+04	10.0
13.80	4.866E+04	10.0
15.12	4.868E+04	10.0
16.54	4.868E+04	10.0
18.01	4.868E+04	10.0
19.51	4.866E+04	10.0
20.53	4.868E+04	10.0
21.53	4.868E+04	10.0
22.55	4.866E+04	10.0
23.56	4.868E+04	10.0
24.67	4.868E+04	10.0
25.72	4.868E+04	10.0
28.05	4.868E+04	10.0
29.17	4.868E+04	10.0
30.28	4.868E+04	10.0
31.31	4.869E+04	10.0
32.33	4.871E+04	10.0
33.34	4.876E+04	10.0
34.36	4.882E+04	10.0
35.37	4.892E+04	10.0
36.39	4.908E+04	10.0
37.40	4.926E+04	10.0
38.51	4.954E+04	10.0
39.52	4.982E+04	10.0
10.21	6.114E+04	10.0
11.16	6.161E+04	10.0
12.33	6.221E+04	10.0
13.57	6.281E+04	10.0
14.91	6.348E+04	10.0
16.31	6.411E+04	10.0
17.84	6.480E+04	10.0
19.50	6.553E+04	10.0
20.69	6.601E+04	10.0
21.74	6.648E+04	10.0
22.85	6.692E+04	10.0
23.99	6.737E+04	10.0
25.08	6.779E+04	10.0
26.15	6.817E+04	10.0
27.21	6.856E+04	10.0
28.28	6.895E+04	10.0
29.38	6.932E+04	10.0
30.53	6.971E+04	10.0
31.85	7.015E+04	10.0
33.01	7.066E+04	10.0
34.61	7.116E+04	10.0
35.87	7.192E+04	10.0
36.92	7.252E+04	10.0
37.97	7.314E+04	10.0
39.08	7.385E+04	10.0
40.13	7.462E+04	10.0
41.17	7.539E+04	10.0
42.23	7.622E+04	10.0
43.33	7.708E+04	10.0
44.32	7.791E+04	10.0
45.39	7.879E+04	10.0
46.51	7.982E+04	10.0
47.46	8.067E+04	10.0
48.42	8.153E+04	10.0
49.38	8.240E+04	10.0
50.35	8.323E+04	10.0
51.42	8.414E+04	10.0
52.49	8.510E+04	10.0
53.49	8.598E+04	10.0
55.19	8.744E+04	10.0
56.17	8.829E+04	10.0
57.17	8.914E+04	10.0
58.19	9.001E+04	10.0
59.13	9.080E+04	10.0
60.08	9.157E+04	10.0
61.03	9.232E+04	10.0
62.00	9.306E+04	10.0
62.94	9.382E+04	10.0
64.01	9.451E+04	10.0
65.03	9.533E+04	10.0
66.01	9.602E+04	10.0
67.08	9.676E+04	10.0
68.02	9.742E+04	10.0
68.97	9.805E+04	10.0
69.94	9.867E+04	10.0
70.90	9.926E+04	10.0
71.97	9.988E+04	10.0
72.90	1.005E+05	10.0
73.85	1.010E+05	10.0
74.79	1.015E+05	10.0
75.74	1.020E+05	10.0
76.74	1.025E+05	10.0
77.68	1.029E+05	10.0
78.76	1.034E+05	10.0
79.93	1.038E+05	10.0
80.91	1.043E+05	10.0
81.88	1.047E+05	10.0
82.83	1.050E+05	10.0
83.81	1.054E+05	10.0
84.87	1.057E+05	10.0
85.92	1.060E+05	10.0
86.94	1.063E+05	10.0
87.97	1.066E+05	10.0
88.98	1.068E+05	10.0
89.93	1.070E+05	10.0
90.88	1.072E+05	10.0
91.82	1.073E+05	10.0
92.79	1.075E+05	10.0
93.73	1.076E+05	10.0
94.70	1.077E+05	10.0
95.65	1.078E+05	10.0
96.60	1.079E+05	10.0
97.55	1.080E+05	10.0
98.52	1.080E+05	10.0
99.48	1.080E+05	10.0
100.44	1.080E+05	10.0
101.39	1.080E+05	10.0
102.34	1.080E+05	10.0
103.28	1.080E+05	10.0
104.29	1.080E+05	10.0
105.31	1.079E+05	10.0
106.58	1.078E+05	10.0
107.63	1.077E+05	10.0
108.73	1.076E+05	10.0
109.82	1.075E+05	10.0
110.78	1.074E+05	10.0
111.84	1.073E+05	10.0
112.90	1.071E+05	10.0
113.89	1.070E+05	10.0
114.84	1.068E+05	10.0
115.80	1.067E+05	10.0
116.77	1.065E+05	10.0
117.73	1.063E+05	10.0
118.69	1.061E+05	10.0
119.65	1.060E+05	10.0
120.61	1.058E+05	10.0
121.55	1.056E+05	10.0
122.52	1.054E+05	10.0
123.47	1.052E+05	10.0
124.42	1.050E+05	10.0
125.38	1.048E+05	10.0
126.36	1.046E+05	10.0
127.36	1.044E+05	10.0
128.41	1.042E+05	10.0
129.36	1.040E+05	10.0
130.33	1.038E+05	10.0
131.29	1.036E+05	10.0
132.23	1.034E+05	10.0
133.18	1.032E+05	10.0
134.17	1.030E+05	10.0
135.23	1.028E+05	10.0
136.26	1.025E+05	10.0
137.25	1.023E+05	10.0
138.20	1.021E+05	10.0
139.15	1.019E+05	10.0
140.10	1.017E+05	10.0
141.08	1.015E+05	10.0
142.03	1.014E+05	10.0
143.00	1.012E+05	10.0
143.96	1.010E+05	10.0
144.95	1.008E+05	10.0
145.92	1.007E+05	10.0
146.88	1.005E+05	10.0
147.86	1.003E+05	10.0
148.85	1.002E+05	10.0
149.84	1.000E+05	10.0
150.81	9.991E+04	10.0
151.95	9.973E+04	10.0
152.91	9.959E+04	10.0
153.87	9.950E+04	10.0
154.84	9.935E+04	10.0
155.83	9.925E+04	10.0
156.89	9.913E+04	10.0
157.95	9.902E+04	10.0
158.91	9.890E+04	10.0
159.87	9.884E+04	10.0
160.88	9.874E+04	10.0
161.92	9.864E+04	10.0
162.88	9.856E+04	10.0
163.93	9.851E+04	10.0
164.95	9.844E+04	10.0
165.98	9.838E+04	10.0
167.07	9.830E+04	10.0
168.11	9.826E+04	10.0
169.24	9.822E+04	10.0
170.21	9.818E+04	10.0
171.14	9.815E+04	10.0
172.13	9.812E+04	10.0
173.06	9.812E+04	10.0
174.03	9.810E+04	10.0
174.98	9.810E+04	10.0
175.95	9.809E+04	10.0
176.91	9.809E+04	10.0
177.86	9.809E+04	10.0
178.80	9.809E+04	10.0
179.78	9.810E+04	10.0
180.73	9.810E+04	10.0
181.70	9.812E+04	10.0
182.65	9.813E+04	10.0
183.59	9.817E+04	10.0
184.54	9.817E+04	10.0
185.55	9.820E+04	10.0
186.55	9.825E+04	10.0
187.52	9.826E+04	10.0
188.47	9.831E+04	10.0
189.41	9.835E+04	10.0
190.34	9.840E+04	10.0
191.31	9.844E+04	10.0
192.46	9.849E+04	10.0
193.55	9.854E+04	10.0
194.54	9.859E+04	10.0
195.61	9.867E+04	10.0
196.60	9.871E+04	10.0
197.54	9.874E+04	10.0
198.60	9.880E+04	10.0
199.60	9.885E+04	10.0
200.55	9.892E+04	10.0
201.48	9.897E+04	10.0
202.42	9.902E+04	10.0
203.37	9.908E+04	10.0
204.42	9.912E+04	10.0
205.45	9.918E+04	10.0
206.43	9.925E+04	10.0
207.55	9.930E+04	10.0
208.52	9.938E+04	10.0
209.46	9.943E+04	10.0
210.41	9.946E+04	10.0
211.36	9.953E+04	10.0
212.37	9.959E+04	10.0
213.32	9.964E+04	10.0
214.37	9.973E+04	10.0
215.31	9.974E+04	10.0
216.29	9.981E+04	10.0
217.25	9.986E+04	10.0
218.20	9.991E+04	10.0
219.20	9.998E+04	10.0
220.20	1.000E+05	10.0
221.26	1.001E+05	10.0
222.20	1.001E+05	10.0
223.16	1.002E+05	10.0
224.09	1.002E+05	10.0
0.46	1.007E+05	10.0
1.41	1.007E+05	10.0
2.56	1.007E+05	10.0
3.78	1.007E+05	10.0
5.09	1.007E+05	10.0
6.46	1.007E+05	10.0
7.92	1.007E+05	10.0
9.45	1.007E+05	10.0
10.47	1.007E+05	10.0
11.49	1.006E+05	10.0
12.55	1.006E+05	10.0
13.63	1.006E+05	10.0
14.70	1.006E+05	10.0
15.74	1.006E+05	10.0
0.46	2.761E+05	280000.0
1.46	2.760E+05	280000.0
2.42	2.760E+05	280000.0
3.41	2.761E+05	280000.0
4.38	2.760E+05	280000.0
5.36	2.761E+05	280000.0
6.32	2.760E+05	280000.0
7.28	2.760E+05	280000.0
8.25	2.760E+05	280000.0
9.21	2.760E+05	280000.0
10.17	2.760E+05	280000.0
11.19	2.760E+05	280000.0
12.15	2.759E+05	280000.0
13.11	2.760E+05	280000.0
14.09	2.760E+05	280000.0
15.05	2.759E+05	280000.0
16.03	2.759E+05	280000.0
17.00	2.760E+05	280000.0
17.98	2.760E+05	280000.0
18.95	2.760E+05	280000.0
19.91	2.760E+05	280000.0
20.87	2.760E+05	280000.0
21.85	2.760E+05	280000.0
22.82	2.760E+05	280000.0
